bead_id,session_id,sub_agent_id,description,spin_up_seconds,task_work_seconds,merge_seconds,reviewer_seconds,total_seconds,jsonl_duration_ms,dispatch_ts_utc,commit_sha,commit_ts_utc,notes
kerf-ted,55603e31-930e-4b1f-a03a-e31483641041,a6fb3a307802858b0,Implement kerf-ted: canned scenarios,4.8,157.5,0.0,69.9,161.9,170849,2026-05-15T06:09:01.149Z,bb4f30d3e16e11cc0ffc8062cf073cb07e571821,2026-05-14T23:11:43-07:00,merge_clamped_neg_-0.4s
kerf-o5y,55603e31-930e-4b1f-a03a-e31483641041,a72da61aefb97983c,Implement kerf-o5y: feed engine,5.3,205.5,0.0,146.1,210.5,222477,2026-05-15T06:07:44.476Z,f412db5ef778ff2f45481c471df297e8d539317b,2026-05-14T23:11:15-07:00,merge_clamped_neg_-0.2s
kerf-een,55603e31-930e-4b1f-a03a-e31483641041,a739728b9971964e8,Implement kerf-een: event heap,3.8,109.2,0.0,133.2,112.8,122211,2026-05-15T06:01:31.178Z,5193c26bbafae79e46e134169e1ecd8eea6dad5e,2026-05-14T23:03:24-07:00,merge_clamped_neg_-0.2s
kerf-frb,55603e31-930e-4b1f-a03a-e31483641041,a7980a61fca30fd85,Implement kerf-frb: Plan 006 E2E,7.4,335.0,0.0,66.6,342.1,355891,2026-05-15T06:32:10.928Z,15bcb2b7f0b2b85574b22a46493908e5d8866c7b,2026-05-14T23:37:53-07:00,merge_clamped_neg_-0.3s
kerf-3b2,55603e31-930e-4b1f-a03a-e31483641041,a7d440eb2418a57a4,Implement kerf-3b2 (Plan 008 / B14 — sim investigation),3.6,696.4,0.0,,700.0,712440,2026-05-15T17:12:47.029Z,fb1223979f38d0481616fc5b5e7484ec63e81ae5,2026-05-15T10:24:27-07:00,merge_clamped_neg_-0.1s
kerf-ddi,55603e31-930e-4b1f-a03a-e31483641041,a7e64c6af391ee4c4,Implement kerf-ddi: internal/beads Filter,4.2,144.5,0.0,118.5,147.9,163980,2026-05-15T06:00:50.114Z,07e0d1ae6eb4fb8b7a61576ed591dfd6dc19be9b,2026-05-14T23:03:18-07:00,merge_clamped_neg_-0.9s
kerf-8p9,55603e31-930e-4b1f-a03a-e31483641041,a8a443e57d5c9e5ab,Implement kerf-8p9 (Plan 008 / B9-spec),4.4,90.5,0.0,,94.1,104692,2026-05-15T17:17:25.875Z,1226a61f9ab78000dd176ffcee0c0518ed23f26e,2026-05-15T10:19:00-07:00,merge_clamped_neg_-0.8s
kerf-c30,55603e31-930e-4b1f-a03a-e31483641041,a8bfccff72d514ce8,Implement kerf-c30: spec.yaml bead_filter,4.1,146.4,0.0,83.4,150.5,158188,2026-05-15T06:08:02.522Z,14baa325222c226d9ae0d9e4e59c9020e4ac1ad1,2026-05-14T23:10:33-07:00,merge_clamped_neg_-0.0s
kerf-4m4,55603e31-930e-4b1f-a03a-e31483641041,a8c9c85f2fa3a3241,Implement kerf-4m4: kerfsim run cmd,4.3,306.4,0.0,109.1,310.3,329878,2026-05-15T06:43:55.713Z,45f139710b29fec4d813e1c2f50c726cecdf54f7,2026-05-14T23:49:06-07:00,merge_clamped_neg_-0.3s
kerf-aa2,55603e31-930e-4b1f-a03a-e31483641041,a9da04d2170b72db3,Implement kerf-aa2: metric collector,3.3,362.6,0.0,140.2,365.0,377967,2026-05-15T06:08:18.016Z,23be48e0652990735719209cd1a890349146c9c2,2026-05-14T23:14:23-07:00,merge_clamped_neg_-0.9s
kerf-w4z,55603e31-930e-4b1f-a03a-e31483641041,ab7f783ba315d889d,Implement kerf-w4z: warning detectors,3.9,235.7,0.0,105.5,238.9,249164,2026-05-15T06:14:35.139Z,c0551d692ab95938c1075735d09db95b6e6684e4,2026-05-14T23:18:34-07:00,merge_clamped_neg_-0.8s
kerf-h9e,55603e31-930e-4b1f-a03a-e31483641041,ab87248b6cb84a41a,Implement kerf-h9e (Plan 008 / B12-spec),4.1,41.5,0.0,,44.7,55075,2026-05-15T17:17:31.337Z,b022b45630a5703b49f7066fadb6d485632501d6,2026-05-15T10:18:16-07:00,merge_clamped_neg_-0.9s
kerf-z75,55603e31-930e-4b1f-a03a-e31483641041,abe154fabd41a4439,Implement kerf-z75: kerfsim diff,4.5,251.7,0.0,65.0,256.1,267591,2026-05-15T06:24:35.884Z,04eb6e6dde172a8f8922e22b25386a8b290167fc,2026-05-14T23:28:52-07:00,merge_clamped_neg_-0.1s
kerf-lxr,55603e31-930e-4b1f-a03a-e31483641041,ac037209d86a8a4b8,Implement kerf-lxr: kerf init auto-detect,3.9,356.8,0.0,110.4,360.7,373380,2026-05-15T06:14:50.285Z,acef2cf8b4d76e84b4bbf0d2f2e42bccd080c772,2026-05-14T23:20:51-07:00,
kerf-wkb,55603e31-930e-4b1f-a03a-e31483641041,ad3932a5014c8df0c,Implement kerf-wkb: in-memory bead store,3.7,229.6,0.0,82.9,232.3,246262,2026-05-15T06:08:32.657Z,fa250a9feff3bd79804152c1871c9e35d9550f2f,2026-05-14T23:12:25-07:00,merge_clamped_neg_-0.9s
kerf-6gl,55603e31-930e-4b1f-a03a-e31483641041,ad91dfdca5b588a08,Implement kerf-6gl (Plan 008 / B2),4.4,109.9,0.0,,114.0,123810,2026-05-15T17:12:24.959Z,91f6f1e0834389e5443dcfb359201d46264cc6ce,2026-05-15T10:14:19-07:00,merge_clamped_neg_-0.2s
kerf-deo,55603e31-930e-4b1f-a03a-e31483641041,adfc880329c77e9d9,Implement kerf-deo (Plan 008 / B9-code),4.5,521.1,0.0,,525.0,542796,2026-05-15T17:20:23.006Z,88542e0564262baacf8e42b745f1f095fdc6b6b5,2026-05-15T10:29:08-07:00,merge_clamped_neg_-0.6s
kerf-07u,55603e31-930e-4b1f-a03a-e31483641041,ae1f000c56d7cc51e,Implement kerf-07u (Plan 008 / B1),3.8,107.0,0.0,,110.5,164187,2026-05-15T17:12:21.472Z,527c803c38977a3fd4316a3262d3a964fe27c6c7,2026-05-15T10:14:12-07:00,merge_clamped_neg_-0.2s
kerf-vmg,55603e31-930e-4b1f-a03a-e31483641041,ae715643e498f1642,Implement kerf-vmg: output writers,4.2,139.1,0.0,78.3,143.0,155818,2026-05-15T06:21:17.967Z,a4df5a75ada606f6c89506cacf5122a018b200d0,2026-05-14T23:23:41-07:00,merge_clamped_neg_-0.3s
kerf-2ne,55603e31-930e-4b1f-a03a-e31483641041,af9ba5898e0906e72,Implement kerf-2ne: scenario generator,4.3,192.4,0.0,128.9,196.7,209648,2026-05-15T06:08:48.272Z,2e47c619cc7b555eeb547d6568e363737b2b61ca,2026-05-14T23:12:05-07:00,
kerf-aka,55603e31-930e-4b1f-a03a-e31483641041,afcfc8786999f3abd,Implement kerf-aka: cleanup detectors,4.3,225.8,0.0,87.8,229.4,244971,2026-05-15T06:14:22.554Z,1f039474fc283aa1364d8d8e5d99e820c3c00e40,2026-05-14T23:18:12-07:00,merge_clamped_neg_-0.7s
kerf-e53,55603e31-930e-4b1f-a03a-e31483641041,aff2a25639ae320c8,Implement kerf-e53: E2E determinism,4.3,236.1,0.0,72.9,239.5,250976,2026-05-15T06:51:12.538Z,7b2879a5df21775f24bed288c99bb13107524e35,2026-05-14T23:55:12-07:00,merge_clamped_neg_-0.9s
kerf-665,a2ade8c4-8a97-4862-9941-7409b179b25b,a2d4dd50690b3b3a3,Implement kerf-665 plan 009 B8 triage command,3.9,414.8,0.0,,418.6,447723,2026-05-15T18:27:59.413Z,a78df3312e88031a2c3bf88706596bf27c1a90e7,2026-05-15T11:34:58-07:00,merge_clamped_neg_-0.1s
kerf-mxu,a2ade8c4-8a97-4862-9941-7409b179b25b,a3531cb7a984a6014,Implement kerf-mxu plan 009 B10 work_edit,3.8,518.8,0.0,,522.3,549250,2026-05-15T18:07:46.720Z,b8552fb5ee21f1d5450225fcbc9b1d09197fe61c,2026-05-15T11:16:29-07:00,merge_clamped_neg_-0.3s
kerf-whk,a2ade8c4-8a97-4862-9941-7409b179b25b,a3f1eebb2d760571f,Implement kerf-whk plan 009 B3 PinnedBeads field,2.9,229.7,0.0,,232.5,259118,2026-05-15T18:02:30.479Z,4949799072f63b45c907685e1711fefd30a4d01f,2026-05-15T11:06:23-07:00,merge_clamped_neg_-0.1s
kerf-6n4,a2ade8c4-8a97-4862-9941-7409b179b25b,a500ae9581256e48b,Implement kerf-6n4 B10-code warning detectors,3.4,624.9,0.0,,627.8,654274,2026-05-15T17:57:43.181Z,52056c8f36c34faafb0341de086fb89bf893075e,2026-05-15T11:08:11-07:00,merge_clamped_neg_-0.5s
kerf-n4h,a2ade8c4-8a97-4862-9941-7409b179b25b,a51554c693d349044,Implement kerf-n4h plan 008 B11-code relabel drift,3.4,108.4,0.0,,111.8,132925,2026-05-15T18:17:29.190Z,eb1c3b56ceb7b75b98dd76fd15157fd69cbe1a85,2026-05-15T11:19:21-07:00,
kerf-avh,a2ade8c4-8a97-4862-9941-7409b179b25b,a67a0c29b33997123,Implement kerf-avh plan 009 B11a --bead-filter,3.2,90.1,0.0,,92.5,116118,2026-05-15T18:07:54.537Z,b7ffb63febeb9a3cea869fa64b1cbafe6bf4bd7f,2026-05-15T11:09:27-07:00,merge_clamped_neg_-0.8s
kerf-rxc,a2ade8c4-8a97-4862-9941-7409b179b25b,a850d5c2b8db39a0f,Implement kerf-rxc plan 009 B11b next headline,4.4,321.9,0.1,,326.4,345782,2026-05-15T18:28:08.620Z,a4552f6160ca6e4d589fe9bb9b20737213a42059,2026-05-15T11:33:35-07:00,
kerf-2sl,a2ade8c4-8a97-4862-9941-7409b179b25b,a873533c80dc7b78a,Implement kerf-2sl B11-spec drift hash,2.4,52.0,0.0,,54.3,64526,2026-05-15T17:50:14.706Z,8fc4836bf8ce3fff579855442e833c1cb46d5363,2026-05-15T10:51:09-07:00,merge_clamped_neg_-0.1s
kerf-1dm,a2ade8c4-8a97-4862-9941-7409b179b25b,a89e70d6a7bd24658,Implement kerf-1dm B4 unknown statuses,3.4,120.5,0.0,,123.9,145625,2026-05-15T17:50:10.101Z,9f3572301114ae383ca1c4a1dac65d4f2c19e3dc,2026-05-15T10:52:14-07:00,merge_clamped_neg_-0.0s
kerf-2sd,a2ade8c4-8a97-4862-9941-7409b179b25b,a97c937ddd632c829,Implement kerf-2sd B13-spec bd→br sweep,3.5,176.9,0.0,,179.5,207878,2026-05-15T17:53:07.545Z,96c30cd30dca9749837d3c49d60c986ae24ee98a,2026-05-15T10:56:07-07:00,merge_clamped_neg_-0.9s
kerf-mgg,a2ade8c4-8a97-4862-9941-7409b179b25b,aae883d7d55d988fa,Implement kerf-mgg plan 008 B7 help-text pass,3.2,192.5,0.0,,195.1,211516,2026-05-15T18:36:07.944Z,c98b34ef99185fc3ef808799acebcfdbcf3ac0c5,2026-05-15T11:39:23-07:00,merge_clamped_neg_-0.6s
kerf-xty,a2ade8c4-8a97-4862-9941-7409b179b25b,abec9bc54d5b5d55d,Implement kerf-xty plan 009 B12 E2E triage,4.1,186.4,0.0,,190.1,208023,2026-05-15T18:35:55.930Z,797e176ad7194708378bc049ea73197b9217e8ca,2026-05-15T11:39:06-07:00,merge_clamped_neg_-0.4s
kerf-8o9,a2ade8c4-8a97-4862-9941-7409b179b25b,ac7826add61c2a39a,Implement kerf-8o9 plan 009 B2 drift package,3.0,232.1,0.0,,234.9,265124,2026-05-15T18:02:19.084Z,61b0b12a69dda456582106b85238182f9400945e,2026-05-15T11:06:14-07:00,merge_clamped_neg_-0.3s
kerf-vvo,a2ade8c4-8a97-4862-9941-7409b179b25b,aca9c0029fcadb2a0,Implement kerf-vvo plan 009 B1 YAML mutators,3.1,203.0,0.0,,205.9,230173,2026-05-15T18:02:08.066Z,bc7e00094b465120b57ddc067d27556319f1c47a,2026-05-15T11:05:34-07:00,merge_clamped_neg_-0.1s
kerf-nn8,a2ade8c4-8a97-4862-9941-7409b179b25b,ad19e864c7d76ca09,Implement kerf-nn8 plan 009 B5 feed wiring,3.0,276.3,0.0,,279.3,299917,2026-05-15T18:07:29.652Z,586b29e5c89443584cd5ed841b16304f4d1c5bda,2026-05-15T11:12:09-07:00,merge_clamped_neg_-0.0s
kerf-eto,a2ade8c4-8a97-4862-9941-7409b179b25b,adcf3e4fe5208fe8c,Implement kerf-eto plan 009 B4 triage detectors,4.8,401.2,0.0,,405.1,431765,2026-05-15T18:20:21.901Z,1196b9491323ae53a9d974ef75f3ff7d15eb4e4b,2026-05-15T11:27:07-07:00,merge_clamped_neg_-0.9s
kerf-ohp,a2ade8c4-8a97-4862-9941-7409b179b25b,aeb9ccbfd483bf6c4,Implement kerf-ohp B6 unmatched-bead counter,4.2,207.4,0.0,,211.5,228437,2026-05-15T17:52:59.484Z,eef709bf91e426a8d2efcf7fd1b314b4e8372f72,2026-05-15T10:56:31-07:00,merge_clamped_neg_-0.1s
kerf-7st,a2ade8c4-8a97-4862-9941-7409b179b25b,aebd17393dc6d1b7d,Implement kerf-7st plan 009 B7 show.go drift,3.1,227.6,0.0,,229.8,247993,2026-05-15T18:17:37.218Z,05c09f5fafba71473a3c12308a3ade505c8e062d,2026-05-15T11:21:27-07:00,merge_clamped_neg_-0.9s
kerf-52z,a2ade8c4-8a97-4862-9941-7409b179b25b,aedbe30746c510ff0,Implement kerf-52z plan 009 B9 cmd/pin.go,3.0,295.7,0.0,,297.8,320184,2026-05-15T18:07:39.222Z,6ce138d1abb86cc1ce06ab32d5a8870f3cbbfed2,2026-05-15T11:12:37-07:00,merge_clamped_neg_-0.9s
kerf-uo1,a2ade8c4-8a97-4862-9941-7409b179b25b,aef4bdf0404b8e255,Implement kerf-uo1 priority_inversions spec,6.4,92.8,0.0,,99.0,115046,2026-05-15T17:53:19.014Z,585fda7bd688ee679e27a7557243abffb378dcc3,2026-05-15T10:54:58-07:00,merge_clamped_neg_-0.1s
